,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,fraud_count,chip_ratio,online_ratio,swipe_ratio,most_prefer,least_prefer,W_avg_min_amount,W_avg_max_amount,W_avg_mean_amount,W_avg_median_amount,W_avg_count_transaction,M_avg_min_amount,M_avg_max_amount,M_avg_mean_amount,M_avg_median_amount,M_avg_count_transaction,M_evg_unique_merchants,M_median_gap_sec,fraud_risk
0,825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,9.0,0.23062946138870863,0.07242050616482804,0.6969500324464634,Swipe,Online,11.780817120622569,251.62929961089495,80.28971854723649,71.7760019455253,14.990272373540856,3.2983898305084742,465.11110169491525,79.54471483977252,67.92927966101695,65.29661016949153,27.059322033898304,18420.0,0
1,1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,21.0,0.43610223642172524,0.07028753993610223,0.4936102236421725,Swipe,Online,18.33445525291829,262.10019455252916,80.83038283073358,64.59554474708172,7.307392996108949,3.6885593220338984,593.6919491525423,81.24234913658016,65.8928813559322,31.83050847457627,21.584745762711865,37530.0,1
2,1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,30.0,0.19179978086615534,0.4192953116890606,0.38890490744478406,Online,Chip,1.508443579766537,181.72040856031128,33.09224476220579,30.829124513618677,33.737354085603116,1.0663559322033898,356.5703389830509,33.11175325447956,32.019322033898305,146.95762711864407,31.483050847457626,7380.0,1
3,708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,163145,249925,202328,722,4,8.0,0.4328996918863403,0.09414584046559397,0.47295446764806576,Swipe,Online,18.632392996108948,619.3981517509728,127.19372786073589,68.2132392996109,11.365758754863814,7.604322033898304,1329.1127966101694,125.64580423985507,58.57580508474576,49.50847457627118,27.11864406779661,20040.0,0
4,1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,53797,109687,183855,675,1,0.0,0.39089000161524795,0.13988047165239864,0.4692295267323534,Swipe,Online,17.222023346303505,329.00099221789884,96.59987780830073,87.0618093385214,12.044747081712062,6.108305084745762,699.3412711864407,97.37415708130871,87.67224576271187,52.46610169491525,29.584745762711865,20160.0,0
5,68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,9.0,0.436273889381091,0.04708264776610556,0.5166434628528035,Swipe,Online,10.491459143968871,150.97225680933852,58.177313041850155,56.56665369649805,15.3715953307393,3.6254237288135593,253.27186440677968,57.95104015800846,58.37012711864407,66.95762711864407,21.47457627118644,13680.0,0
6,1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,7.0,0.23449511157549072,0.3188297634151802,0.44667512500932904,Swipe,Chip,0.3963618677042801,235.39219844357976,33.96272342828618,28.39560311284047,26.06809338521401,0.265,447.3441525423729,34.018242139459865,29.049449152542373,113.55084745762711,22.83050847457627,11160.0,0
7,1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,6.0,0.3550930595030714,0.2680847162372788,0.3768222242596498,Swipe,Online,5.352140077821011,248.81605058365759,64.89689930317552,39.88803501945525,21.219844357976655,2.9290677966101692,406.5653389830508,64.85962474842565,35.38970338983051,92.4322033898305,30.805084745762713,9120.0,0
8,1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,18730,38190,81262,810,1,6.0,0.3220202382018447,0.024447031431897557,0.6535327303662577,Swipe,Online,5.49624513618677,156.13431906614784,21.923614678831207,27.696663424124512,21.72568093385214,2.933135593220339,311.6205084745763,22.04682814093373,28.91186440677966,94.63559322033899,21.406779661016948,3480.0,0
9,1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325,41442,78833,712,3,9.0,0.423314606741573,0.06769662921348314,0.5089887640449439,Swipe,Online,10.2518093385214,164.22963035019455,42.050842552365424,26.310612840466927,6.926070038910506,3.6495762711864406,358.2749152542373,42.50665096831659,19.40669491525424,30.16949152542373,14.88135593220339,52860.0,0
10,1660,41,68,1978,4,Female,40 Washington Drive,36.73,-102.51,11342,23123,5079,723,6,3.0,0.39145645369176946,0.042717731541152645,0.5658258147670779,Swipe,Online,3.0559338521400776,91.94589494163425,24.992859698714764,18.07326848249027,10.566147859922179,0.77,129.26745762711863,24.825618622955517,14.533686440677965,46.02542372881356,19.661016949152543,26340.0,0
11,153,76,71,1943,8,Female,172 Birch Street,35.29,-111.32,21950,27484,16803,660,4,19.0,0.40260196905766527,0.09106891701828411,0.5063291139240507,Swipe,Online,18.6076171875,169.49453125,58.213694207214225,46.66884765625,5.5546875,4.71957627118644,338.7316949152542,57.458631028641726,38.57610169491525,24.10169491525424,17.14406779661017,54780.0,1
12,511,66,68,1953,10,Male,153 Tenth Lane,32.21,-110.88,17460,35602,55369,661,5,5.0,0.4272929187353018,0.10425921087013326,0.4684478703945649,Swipe,Online,2.0804280155642023,199.91136186770427,43.051329595736604,29.558472762645916,29.782101167315176,1.3741525423728813,375.2823728813559,42.921780238680476,26.72228813559322,129.72881355932202,32.91525423728814,5820.0,0
13,1946,76,66,1943,6,Male,9186 Washington Avenue,41.47,-81.67,19524,41109,21486,698,2,10.0,0.4471924093949292,0.07746150256649556,0.4753460880385752,Swipe,Online,0.4875486381322957,154.20546692607005,29.490583751174576,17.408414396887157,12.507782101167315,0.35584745762711867,335.5003389830509,29.655099942628578,15.07457627118644,54.483050847457626,21.584745762711865,19740.0,0
