,id,current_age,retirement_age,birth_year,birth_month,gender,address,latitude,longitude,per_capita_income,yearly_income,total_debt,credit_score,num_credit_cards,fraud_count,chip_ratio,online_ratio,swipe_ratio,most_prefer,least_prefer,W_avg_min_amount,W_avg_max_amount,W_avg_mean_amount,W_avg_median_amount,W_avg_count_transaction,M_avg_min_amount,M_avg_max_amount,M_avg_mean_amount,M_avg_median_amount,M_avg_count_transaction,M_evg_unique_merchants,M_median_gap_sec,reissue_per_active_months,min_days_until_fraud,max_years_since_last_pin_change,fraud_risk
0,825,53,66,1966,11,Female,462 Rose Lane,34.15,-117.76,29278,59696,127613,787,5,9.0,0.2306294613887086,0.072420506164828,0.6969500324464634,Swipe,Online,11.780817120622569,251.62929961089492,80.28971854723649,71.7760019455253,14.990272373540856,3.2983898305084742,465.1111016949153,79.54471483977252,67.92927966101695,65.29661016949153,27.059322033898304,18420.0,0.01805590690614723,4632.0,15,0
1,1746,53,68,1966,12,Female,3606 Federal Boulevard,40.76,-73.74,37891,77254,191349,701,5,21.0,0.4361022364217252,0.0702875399361022,0.4936102236421725,Swipe,Online,18.33445525291829,262.1001945525292,80.83038283073358,64.59554474708172,7.307392996108949,3.6885593220338975,593.6919491525423,81.24234913658016,65.8928813559322,31.83050847457627,21.584745762711865,37530.0,0.015579144072353033,1360.0,8,1
2,1718,81,67,1938,11,Female,766 Third Drive,34.02,-117.89,22681,33483,196,698,5,30.0,0.1917997808661553,0.4192953116890606,0.388904907444784,Online,Chip,1.508443579766537,181.72040856031128,33.09224476220579,30.82912451361868,33.73735408560312,1.0663559322033898,356.5703389830509,33.11175325447956,32.019322033898305,146.95762711864407,31.483050847457623,7380.0,0.03645965089805211,1501.0,11,1
3,708,63,63,1957,1,Female,3 Madison Street,40.71,-73.99,163145,249925,202328,722,4,8.0,0.4328996918863403,0.0941458404655939,0.4729544676480657,Swipe,Online,18.632392996108948,619.3981517509728,127.19372786073588,68.2132392996109,11.365758754863814,7.604322033898304,1329.1127966101694,125.64580423985508,58.57580508474576,49.50847457627118,27.11864406779661,20040.0,0.015811362209667293,32.0,12,0
4,1164,43,70,1976,9,Male,9620 Valley Stream Drive,37.76,-122.44,53797,109687,183855,675,1,0.0,0.3908900016152479,0.1398804716523986,0.4692295267323534,Swipe,Online,17.222023346303505,329.00099221789884,96.59987780830072,87.0618093385214,12.044747081712062,6.108305084745762,699.3412711864407,97.37415708130872,87.67224576271187,52.46610169491525,29.584745762711865,20160.0,0.00847457627118644,11770.5,7,0
5,68,42,70,1977,10,Male,58 Birch Lane,41.55,-90.6,20599,41997,0,704,3,9.0,0.436273889381091,0.0470826477661055,0.5166434628528035,Swipe,Online,10.491459143968871,150.97225680933852,58.17731304185016,56.56665369649805,15.3715953307393,3.6254237288135593,253.27186440677968,57.95104015800846,58.37012711864407,66.95762711864407,21.47457627118644,13680.0,0.026803310997240832,5203.0,12,0
6,1075,36,67,1983,12,Female,5695 Fifth Street,38.22,-85.74,25258,51500,102286,672,3,7.0,0.2344951115754907,0.3188297634151802,0.446675125009329,Swipe,Chip,0.3963618677042801,235.39219844357976,33.96272342828618,28.39560311284047,26.06809338521401,0.265,447.3441525423729,34.018242139459865,29.049449152542373,113.55084745762711,22.83050847457627,11160.0,0.019814426566302088,3109.0,9,0
7,1116,81,66,1938,7,Female,11 Spruce Avenue,40.32,-75.32,26273,42509,2895,755,5,6.0,0.3550930595030714,0.2680847162372788,0.3768222242596498,Swipe,Online,5.352140077821011,248.8160505836576,64.89689930317552,39.88803501945525,21.21984435797665,2.929067796610169,406.5653389830508,64.85962474842565,35.38970338983051,92.4322033898305,30.805084745762716,9120.0,0.01950150840642486,573.0,10,0
8,1752,34,60,1986,1,Female,887 Grant Street,29.97,-92.12,18730,38190,81262,810,1,6.0,0.3220202382018447,0.0244470314318975,0.6535327303662577,Swipe,Online,5.49624513618677,156.13431906614784,21.923614678831207,27.696663424124512,21.72568093385214,2.933135593220339,311.6205084745763,22.04682814093373,28.91186440677966,94.635593220339,21.406779661016948,3480.0,0.01694915254237288,1740.0,7,0
9,1094,34,62,1985,10,Male,74786 Jefferson Drive,44.75,-85.6,20325,41442,78833,712,3,9.0,0.423314606741573,0.0676966292134831,0.5089887640449439,Swipe,Online,10.2518093385214,164.22963035019455,42.050842552365424,26.310612840466927,6.926070038910506,3.649576271186441,358.2749152542373,42.50665096831659,19.40669491525424,30.16949152542373,14.88135593220339,52860.0,0.01694915254237288,3319.0,10,0
